Reference, Value, Footprint, Datasheet, Field4
U1,TL072,Custom:DIP-8_LARGE_PADS,
R1,1K,Custom:R3-LARGE_PADS,
C1,0.1u,Custom:C2-LARGE_PADS,
R2,5Meg,Custom:R3-LARGE_PADS,
R3,22K,Custom:R3-LARGE_PADS,
R4,10K,Custom:R3-LARGE_PADS,
R9,4.7K,Custom:R3-LARGE_PADS,
RV1,B 100K,Custom:SIL-3-LARGE_PADS,,Low
C3,10n,Custom:C2-LARGE_PADS,
R7,22K,Custom:R3-LARGE_PADS,
C4,1.5n,Custom:C2-LARGE_PADS,
RV2,B 100K,Custom:SIL-3-LARGE_PADS,,Mid
R8,10K,Custom:R3-LARGE_PADS,
R6,22K,Custom:R3-LARGE_PADS,
RV3,B 100K,Custom:SIL-3-LARGE_PADS,,High
C5,6.8n,Custom:C2-LARGE_PADS,
R5,4.7K,Custom:R3-LARGE_PADS,
C6,1.5n,Custom:C2-LARGE_PADS,
R10,500,Custom:R3-LARGE_PADS,
C7,10u,Custom:C1.5V7-LARGE_PADS,
R11,100K,Custom:R3-LARGE_PADS,
R12,100K,Custom:R3-LARGE_PADS,
C8,1u,Custom:C1.5V7-LARGE_PADS,
C9,10u,Custom:C1.5V7-LARGE_PADS,
P3,Power,Custom:SIL-2-LARGE_PADS,
C2,2.2u,Custom:C1.5V7-LARGE_PADS,
P2,Out,Custom:SIL-2-LARGE_PADS,
P1,In,Custom:SIL-2-LARGE_PADS,
C10,47p,Custom:C2-LARGE_PADS,
